Player,Nation,Age,Squad,Grupo_Posicao,90s,Gls,Ast,Sh,SoT,CrdY,CrdR,Golos_Equipa,Remates_Equipa,%Golos_Equipa,%Remates_Equipa,%_G+A_Equipa,%_Pontaria,Golos_por_Remate,Golos_por_Remate_Enquadrado,Indice_Conversao_Relativa_Equipa,Remates/90,G+A s/ Penáltis/90,Ast_por_Crz_%,Cruzamentos/90,Ações_Defensivas/90,TklW_por_Falta,Faltas/90,Cartões/90,Indice_Disciplinar,rating,estilo
Gustavo Mancha,br BRA,21,Rio Ave,DEF,14.0,0,0,2,0,4,0,33,307,0.0,0.6514657980456027,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.07142857142857142,1.4285714285714286,0.7777777777777778,0.6428571428571429,0.2857142857142857,0.2857142857142857,40.5,Defesas Puros
Tamás Nikitscher,hu HUN,25,Rio Ave,MID,15.4,1,1,10,2,6,1,33,307,3.0303030303030303,3.257328990228013,6.0606060606060606,20.0,0.1,0.5,0.9303030303030303,0.6493506493506493,0.12987012987012986,25.0,0.2597402597402597,3.2467532467532467,0.5454545454545454,2.142857142857143,0.45454545454545453,0.5844155844155844,54.8,Contenção / Box-to-Box Defensivo
Andreas Ntoi,gr GRE,22,Rio Ave,MID,26.0,1,2,22,4,9,0,33,307,3.0303030303030303,7.166123778501629,9.090909090909092,18.181818181818183,0.045454545454545456,0.25,0.4228650137741046,0.8461538461538461,0.11538461538461539,200.0,0.038461538461538464,1.9230769230769231,0.5434782608695652,1.7692307692307692,0.34615384615384615,0.34615384615384615,69.5,Contenção / Box-to-Box Defensivo
Jonathan Panzo,eng ENG,24,Rio Ave,DEF,12.2,0,0,5,1,3,1,33,307,0.0,1.6286644951140066,0.0,20.0,0.0,0.0,0.0,0.4098360655737705,0.0,0.0,0.0819672131147541,2.6229508196721314,0.7222222222222222,1.4754098360655739,0.3278688524590164,0.49180327868852464,50.7,Defesas Puros
Francisco Petrasso,ar ARG,23,Rio Ave,DEF,16.0,0,0,4,1,7,1,33,307,0.0,1.3029315960912053,0.0,25.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0625,1.3125,0.65,1.25,0.5,0.625,30.1,Contenção / Box-to-Box Defensivo
Ole Pohlmann,de GER,24,Rio Ave,FWD,19.1,1,1,24,7,2,0,33,307,3.0303030303030303,7.81758957654723,6.0606060606060606,29.166666666666668,0.041666666666666664,0.14285714285714285,0.38762626262626265,1.256544502617801,0.10471204188481674,2.941176470588235,1.7801047120418847,1.3612565445026177,0.9444444444444444,0.9424083769633507,0.10471204188481674,0.10471204188481674,34.9,Contribuição Larga (Cruzamento + Trabalho Defensivo)
Dario Špikić,hr CRO,26,Rio Ave,MID,19.8,2,3,31,10,1,0,33,307,6.0606060606060606,10.097719869706841,15.151515151515152,32.25806451612903,0.06451612903225806,0.2,0.6001955034213098,1.5656565656565655,0.25252525252525254,15.789473684210526,0.9595959595959596,1.9696969696969697,0.6216216216216216,1.8686868686868687,0.050505050505050504,0.050505050505050504,53.5,Contenção / Box-to-Box Defensivo
Marious Vrousai,gr GRE,27,Rio Ave,MID,28.0,1,2,44,18,5,1,33,307,3.0303030303030303,14.332247557003258,9.090909090909092,40.909090909090914,0.022727272727272728,0.05555555555555555,0.2114325068870523,1.5714285714285714,0.10714285714285714,3.125,2.2857142857142856,4.035714285714286,1.6571428571428573,1.25,0.21428571428571427,0.2857142857142857,66.1,Contribuição Larga (Cruzamento + Trabalho Defensivo)
Sabit Abdulai,gh GHA,26,Alverca,MID,12.9,0,1,11,3,5,1,30,264,0.0,4.166666666666666,3.3333333333333335,27.27272727272727,0.0,0.0,0.0,0.8527131782945736,0.07751937984496124,50.0,0.15503875968992248,1.937984496124031,0.7368421052631579,1.4728682170542635,0.46511627906976744,0.6201550387596899,49.1,Contenção / Box-to-Box Defensivo
Amorim,br BRA,20,Alverca,MID,18.0,2,0,17,6,3,0,30,264,6.666666666666667,6.4393939393939394,6.666666666666667,35.294117647058826,0.11764705882352941,0.3333333333333333,1.035294117647059,0.9444444444444444,0.1111111111111111,0.0,0.7777777777777778,2.4444444444444446,1.2,1.3888888888888888,0.16666666666666666,0.16666666666666666,50.5,Contenção / Box-to-Box Defensivo
Chiquinho,pt POR,25,Alverca,FWD,16.4,2,4,24,6,6,0,30,264,6.666666666666667,9.090909090909092,20.0,25.0,0.08333333333333333,0.3333333333333333,0.7333333333333333,1.4634146341463417,0.30487804878048785,5.555555555555555,4.390243902439025,1.402439024390244,0.5333333333333333,1.829268292682927,0.3658536585365854,0.3658536585365854,41.1,Criadores pelos Corredores
Francisco Chissumba,pt POR,20,Alverca,MID,16.8,0,0,7,1,3,0,30,264,0.0,2.6515151515151514,0.0,14.285714285714285,0.0,0.0,0.0,0.41666666666666663,0.0,0.0,1.726190476190476,2.380952380952381,0.9230769230769231,1.5476190476190474,0.17857142857142858,0.17857142857142858,36.2,Defesas Puros
Figueiredo,br BRA,23,Alverca,FWD,20.8,6,2,42,19,3,0,30,264,20.0,15.909090909090908,26.666666666666668,45.23809523809524,0.14285714285714285,0.3157894736842105,1.2571428571428571,2.019230769230769,0.3846153846153846,3.8461538461538463,2.5,1.25,0.5714285714285714,1.346153846153846,0.14423076923076922,0.14423076923076922,47.5,Finalizadores
Sergi Gómez,es ESP,33,Alverca,DEF,27.6,0,0,3,1,1,0,30,264,0.0,1.1363636363636365,0.0,33.33333333333333,0.0,0.0,0.0,0.10869565217391304,0.0,0.0,0.0,1.5217391304347825,1.5,0.5072463768115941,0.036231884057971016,0.036231884057971016,56.6,Contenção / Box-to-Box Defensivo
Isaac James,ng NGA,20,Alverca,MID,14.5,0,2,9,1,3,0,30,264,0.0,3.4090909090909087,6.666666666666667,11.11111111111111,0.0,0.0,0.0,0.6206896551724138,0.13793103448275862,4.761904761904762,2.896551724137931,2.4827586206896552,0.95,1.3793103448275863,0.20689655172413793,0.20689655172413793,42.0,Defesas Puros
Sandro Lima,br BRA,34,Alverca,FWD,15.8,5,2,25,13,2,1,30,264,16.666666666666664,9.469696969696969,23.333333333333332,52.0,0.2,0.38461538461538464,1.76,1.5822784810126582,0.4430379746835443,200.0,0.06329113924050632,0.6962025316455696,0.2962962962962963,1.7088607594936709,0.18987341772151897,0.3164556962025316,57.9,Finalizadores
Lincoln,br BRA,26,Alverca,MID,26.2,2,5,32,12,5,0,30,264,6.666666666666667,12.121212121212121,23.333333333333332,37.5,0.0625,0.16666666666666666,0.55,1.2213740458015268,0.26717557251908397,4.310344827586207,4.427480916030534,1.83206106870229,1.3333333333333333,1.0305343511450382,0.19083969465648856,0.19083969465648856,53.6,Contribuição Larga (Cruzamento + Trabalho Defensivo)
Bastien Meupiyou,fr FRA,19,Alverca,DEF,29.0,0,0,6,2,6,1,30,264,0.0,2.272727272727273,0.0,33.33333333333333,0.0,0.0,0.0,0.20689655172413793,0.0,0.0,0.1724137931034483,2.0344827586206895,0.9333333333333333,1.0344827586206897,0.2413793103448276,0.3103448275862069,49.7,Contenção / Box-to-Box Defensivo
Marko Milovanović,rs SRB,21,Alverca,FWD,17.0,9,2,38,21,3,0,30,264,30.0,14.393939393939394,36.666666666666664,55.26315789473685,0.23684210526315788,0.42857142857142855,2.0842105263157893,2.235294117647059,0.47058823529411764,200.0,0.058823529411764705,0.17647058823529413,0.09375,1.8823529411764706,0.17647058823529413,0.17647058823529413,62.7,Finalizadores
Kaiky Naves,br BRA,23,Alverca,DEF,31.5,2,0,17,4,9,1,30,264,6.666666666666667,6.4393939393939394,6.666666666666667,23.52941176470588,0.11764705882352941,0.5,1.035294117647059,0.5396825396825397,0.06349206349206349,0.0,0.2222222222222222,3.015873015873016,1.46875,1.0158730158730158,0.31746031746031744,0.38095238095238093,61.1,Contenção / Box-to-Box Defensivo
Rhaldney,br BRA,26,Alverca,MID,11.0,1,0,10,2,4,0,30,264,3.3333333333333335,3.787878787878788,3.3333333333333335,20.0,0.1,0.5,0.88,0.9090909090909091,0.09090909090909091,0.0,0.09090909090909091,2.0,0.47619047619047616,1.9090909090909092,0.36363636363636365,0.36363636363636365,39.3,Contenção / Box-to-Box Defensivo
Nabil Touaizi,ma MAR,24,Alverca,MID,31.3,1,5,23,10,7,0,30,264,3.3333333333333335,8.712121212121213,20.0,43.47826086956522,0.043478260869565216,0.1,0.3826086956521739,0.7348242811501597,0.1597444089456869,3.968253968253968,4.02555910543131,1.4376996805111821,0.6153846153846154,0.8306709265175719,0.22364217252396165,0.22364217252396165,48.6,Contribuição Larga (Cruzamento + Trabalho Defensivo)
Adriano,br BRA,25,Santa Clara,MID,16.0,0,0,14,2,6,1,22,321,0.0,4.361370716510903,0.0,14.285714285714285,0.0,0.0,0.0,0.875,0.0,0.0,0.25,1.0625,0.25,1.25,0.4375,0.5625,25.5,Defesas Puros
Brenner,br BRA,23,Santa Clara,FWD,13.2,0,1,25,7,2,0,22,321,0.0,7.78816199376947,4.545454545454546,28.000000000000004,0.0,0.0,0.0,1.893939393939394,0.07575757575757576,2.0,3.787878787878788,0.6818181818181819,0.125,1.2121212121212122,0.15151515151515152,0.15151515151515152,34.2,Criadores pelos Corredores
Diogo Calila,mz MOZ,26,Santa Clara,DEF,11.1,1,0,7,2,4,0,22,321,4.545454545454546,2.1806853582554515,4.545454545454546,28.57142857142857,0.14285714285714285,0.5,2.0844155844155847,0.6306306306306306,0.0900900900900901,0.0,3.1531531531531534,1.5315315315315317,0.5454545454545454,0.990990990990991,0.3603603603603604,0.3603603603603604,41.0,Contribuição Larga (Cruzamento + Trabalho Defensivo)
Pedro Ferreira,pt POR,27,Santa Clara,MID,21.8,0,0,20,2,4,0,22,321,0.0,6.230529595015576,0.0,10.0,0.0,0.0,0.0,0.9174311926605504,0.0,0.0,1.146788990825688,3.256880733944954,1.2121212121212122,1.5137614678899083,0.18348623853211007,0.18348623853211007,41.4,Defesas Puros
Gustavo Klismahn,br BRA,25,Santa Clara,MID,12.2,1,1,13,3,2,0,22,321,4.545454545454546,4.049844236760125,9.090909090909092,23.076923076923077,0.07692307692307693,0.3333333333333333,1.1223776223776225,1.0655737704918034,0.1639344262295082,2.272727272727273,3.6065573770491803,1.8032786885245902,0.5454545454545454,1.8032786885245902,0.1639344262295082,0.1639344262295082,42.5,Contribuição Larga (Cruzamento + Trabalho Defensivo)
Luís Carlos Rocha Rodrigues,pt POR,38,Santa Clara,DEF,13.0,0,0,3,0,5,0,22,321,0.0,0.9345794392523363,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,0.0,0.0,0.07692307692307693,1.3076923076923077,0.3,1.5384615384615385,0.38461538461538464,0.38461538461538464,31.8,Defesas Puros
Serginho,pt POR,25,Santa Clara,MID,28.5,4,3,39,10,9,0,22,321,18.181818181818183,12.149532710280374,31.818181818181817,25.64102564102564,0.10256410256410256,0.4,1.4965034965034967,1.368421052631579,0.10526315789473684,2.8846153846153846,3.6491228070175437,1.8245614035087718,0.7291666666666666,1.6842105263157894,0.3157894736842105,0.3157894736842105,41.4,Contribuição Larga (Cruzamento + Trabalho Defensivo)
Sidney,br BRA,28,Santa Clara,DEF,32.6,1,0,16,3,9,1,22,321,4.545454545454546,4.984423676012461,4.545454545454546,18.75,0.0625,0.3333333333333333,0.9119318181818183,0.49079754601226994,0.03067484662576687,0.0,0.6134969325153374,1.9325153374233128,0.8709677419354839,0.950920245398773,0.3067484662576687,0.36809815950920244,46.3,Defesas Puros
Henrique Silva,br BRA,19,Santa Clara,DEF,11.4,0,0,6,0,5,0,22,321,0.0,1.8691588785046727,0.0,0.0,0.0,0.0,0.0,0.5263157894736842,0.0,0.0,0.17543859649122806,2.1929824561403506,0.4583333333333333,2.1052631578947367,0.43859649122807015,0.43859649122807015,40.1,Defesas Puros
Lucas Soares,br BRA,27,Santa Clara,DEF,23.0,0,0,19,3,6,1,22,321,0.0,5.919003115264798,0.0,15.789473684210526,0.0,0.0,0.0,0.8260869565217391,0.0,0.0,3.260869565217391,2.0434782608695654,0.6170212765957447,2.0434782608695654,0.30434782608695654,0.391304347826087,49.0,Defesas Puros
José Tavares,,22,Santa Clara,MID,10.7,0,1,12,4,8,0,22,321,0.0,3.7383177570093453,4.545454545454546,33.33333333333333,0.0,0.0,0.0,1.1214953271028039,0.09345794392523366,25.0,0.3738317757009346,3.1775700934579443,0.6470588235294118,3.1775700934579443,0.7476635514018692,0.7476635514018692,58.6,Contenção / Box-to-Box Defensivo
Frederico Venâncio,pt POR,32,Santa Clara,DEF,19.2,1,1,10,3,6,0,22,321,4.545454545454546,3.115264797507788,9.090909090909092,30.0,0.1,0.3333333333333333,1.4590909090909092,0.5208333333333334,0.10416666666666667,50.0,0.10416666666666667,2.5520833333333335,0.8235294117647058,0.8854166666666667,0.3125,0.3125,51.4,Contenção / Box-to-Box Defensivo
Paulo Victor,br BRA,24,Santa Clara,DEF,15.0,1,0,5,2,3,1,22,321,4.545454545454546,1.557632398753894,4.545454545454546,40.0,0.2,0.5,2.9181818181818184,0.3333333333333333,0.06666666666666667,0.0,3.3333333333333335,3.0,1.8571428571428572,0.9333333333333333,0.26666666666666666,0.4,70.0,Contribuição Larga (Cruzamento + Trabalho Defensivo)
Gabriel Vieira,br BRA,23,Santa Clara,FWD,24.8,6,0,69,20,4,0,22,321,27.27272727272727,21.49532710280374,27.27272727272727,28.985507246376812,0.08695652173913043,0.3,1.268774703557312,2.782258064516129,0.20161290322580644,0.0,2.379032258064516,0.7258064516129032,0.37777777777777777,1.814516129032258,0.16129032258064516,0.16129032258064516,45.2,Finalizadores
Vinícius,br BRA,26,Santa Clara,FWD,17.1,6,1,50,15,8,0,22,321,27.27272727272727,15.57632398753894,31.818181818181817,30.0,0.12,0.4,1.7509090909090907,2.923976608187134,0.4093567251461988,3.125,1.871345029239766,1.3450292397660817,0.4166666666666667,2.1052631578947367,0.4678362573099415,0.4678362573099415,51.3,Finalizadores
Wendel,br BRA,24,Santa Clara,FWD,10.1,1,2,12,6,2,0,22,321,4.545454545454546,3.7383177570093453,13.636363636363635,50.0,0.08333333333333333,0.16666666666666666,1.2159090909090913,1.188118811881188,0.19801980198019803,100.0,0.19801980198019803,0.19801980198019803,0.14285714285714285,0.6930693069306931,0.19801980198019803,0.19801980198019803,43.4,Finalizadores
Babatunde Akinsola,ng NGA,22,AVS Futebol,MID,27.1,1,4,49,12,2,0,21,314,4.761904761904762,15.605095541401273,23.809523809523807,24.489795918367346,0.02040816326530612,0.08333333333333333,0.30515063168124396,1.8081180811808117,0.18450184501845018,4.819277108433735,3.062730627306273,1.1808118081180812,0.6818181818181818,0.8118081180811808,0.07380073800738007,0.07380073800738007,39.3,Criadores pelos Corredores
